Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
856,32,15,32,36,43
857,32,15,32,36,42
858,32,14,32,36,41
859,32,14,32,36,44
860,32,15,32,36,44
861,32,15,32,36,41
862,32,14,32,36,41
863,32,14,32,36,44
864,32,14,32,36,44
865,32,15,32,36,43
866,32,15,32,36,41
867,32,15,32,36,41
868,32,14,32,36,41
869,32,14,32,36,44
870,32,14,32,36,44
871,32,14,32,36,44
872,32,15,32,36,42
873,32,15,32,36,41
874,32,14,32,36,41
875,32,14,32,36,44
876,32,15,32,36,43
877,32,15,32,36,42
878,32,15,32,36,41
879,32,14,32,36,40
880,32,14,32,36,43
881,32,14,32,36,44
882,32,15,32,36,42
883,32,15,32,36,41
884,32,14,32,36,41
885,32,15,32,36,44
886,32,14,32,36,42
887,32,15,32,36,40
888,32,13,32,36,43
889,32,14,32,36,47
890,32,14,32,36,45
891,32,15,32,36,43
892,32,15,32,36,41
893,32,13,32,36,44
894,32,14,32,36,45
895,8,14,32,16,24
896,8,12,32,12,20
897,8,11,32,9,20
898,8,9,32,5,19
899,8,7,32,2,19
900,8,6,31,0,19
901,8,4,31,0,23
902,8,3,31,0,25
903,8,1,30,0,28
904,8,0,30,0,34
905,8,0,28,0,35
906,8,0,27,0,36
907,8,0,25,0,35
908,8,0,23,0,35
909,8,0,22,2,35
910,8,0,20,0,35
911,8,0,19,2,37
912,8,0,17,0,36
913,8,0,16,1,35
914,8,0,15,2,35
915,8,0,14,2,35
916,8,0,13,0,35
917,8,0,12,0,35
918,8,0,10,1,36
919,8,0,9,1,36
920,8,0,8,3,37
921,8,0,7,2,40
922,8,0,6,3,39
923,8,1,6,4,40
924,8,1,5,5,41
925,8,2,5,6,40
926,8,2,5,6,38
927,8,1,6,6,37
928,8,1,6,6,40
929,8,1,5,7,42
930,8,2,5,8,41
931,8,3,6,7,37
932,8,1,6,8,38
933,8,1,7,4,42
934,8,1,6,8,44
935,8,2,6,8,42
936,8,3,7,8,38
937,8,2,7,8,38
938,8,1,8,5,41
939,8,1,7,7,44
940,8,2,7,8,43
941,8,3,8,5,36
942,8,3,8,7,38
943,8,1,8,7,40
944,8,1,8,7,44
945,8,2,8,7,45
946,8,3,8,7,41
947,8,4,9,5,39
948,8,3,9,7,37
949,8,1,9,6,39
950,8,1,9,6,43
951,8,2,9,6,43
952,8,3,10,3,36
953,8,2,10,5,37
954,8,1,10,5,40
955,8,1,10,4,42
956,8,1,9,4,42
957,8,2,9,5,45
958,8,2,10,3,38
959,8,1,10,3,39
960,8,1,10,3,41
961,8,1,9,4,42
962,8,1,8,4,42
963,8,2,8,4,44
964,8,3,8,4,40
965,8,3,9,2,35
966,8,2,9,3,37
967,8,1,9,3,40
968,8,1,9,3,41
969,8,0,8,6,41
970,8,1,8,4,43
971,8,2,8,4,41
972,8,2,8,4,39
973,8,2,9,4,37
974,8,1,9,3,34
975,8,1,9,3,40
976,8,1,8,4,42
977,8,2,8,3,42
978,8,2,8,3,39
979,8,2,8,3,38
980,8,2,9,1,38
981,8,1,9,2,38
982,8,0,8,5,44
983,8,1,8,3,42
984,8,2,8,3,40
985,8,2,8,3,38
986,8,2,8,3,38
987,8,1,9,2,39
988,8,1,8,3,41
989,8,1,8,3,41
990,8,2,8,3,41
991,8,1,8,3,38
992,8,1,8,3,39
993,8,1,8,3,41
994,8,1,8,3,41
995,8,1,8,3,42
996,8,1,7,4,44
997,8,2,7,4,41
998,8,3,8,0,39
999,8,2,8,3,38
1000,8,1,8,3,41
1001,8,1,8,3,41
1002,8,1,8,3,41
1003,8,0,7,3,42
1004,8,2,7,4,48
1005,8,3,7,4,39
1006,8,3,7,5,37
1007,8,2,8,4,35
1008,8,1,8,4,39
1009,8,1,8,4,42
1010,8,2,8,4,42
1011,8,2,8,4,39
1012,8,2,8,4,39
1013,8,1,9,3,40
1014,8,1,8,5,41
1015,8,1,8,4,43
1016,8,2,8,4,42
1017,8,2,8,4,39
1018,8,2,8,4,39
1019,8,1,9,3,36
